smiles,T,dliq,dgas,st,tc,redT
C1CC1CC1CC1,432,0.6515,0.0151,10.92,575.3,0.7509125673561621
C1CC1CC1CC1,453,0.629,0.01975,9.326,575.3,0.7874152616026422
C1CC1CC1CC1,475,0.5995,0.03069,7.875,575.3,0.825656179384669
CCC1CCCC1,160,0.8828,0.0,42.14,565.4,0.28298549699327913
CCC1CCCC1,260,0.7902,0.0,28.34,565.4,0.45985143261407857
CCC1CCCC1,334,0.7224,0.001175,20.27,565.4,0.5907322249734701
CCC1CCCC1,384,0.6747,0.005193,14.9,565.4,0.6791651927838699
CCC1CCCC1,409,0.6488,0.007107,11.55,565.4,0.7233816766890697
CCC1CCCC1,434,0.6219,0.016069999999999997,9.946,565.4,0.7675981605942696
CCC1CCCC1,459,0.59,0.02254,7.822,565.4,0.8118146444994694
CCC1CCCC1,484,0.5563,0.03706,5.42,565.4,0.8560311284046693
CC1(C)CCCC1,228,0.8182,1.212e-05,31.0,549.1,0.41522491349480967
CC1(C)CCCC1,301,0.7502,0.00038169999999999995,22.36,549.1,0.5481697322892005
CC1(C)CCCC1,356,0.6957,0.004379999999999999,15.91,549.1,0.6483336368603169
CC1(C)CCCC1,392,0.6573,0.009219,12.05,549.1,0.7138954653068658
CC1(C)CCCC1,410,0.6351,0.01555,10.44,549.1,0.7466763795301402
CC1(C)CCCC1,429,0.6134,0.01872,8.521,549.1,0.7812784556547077
CC1(C)CCCC1,447,0.591,0.02625,7.337999999999999,549.1,0.8140593698779821
CC1(C)CCCC1,465,0.5647,0.03728,5.507000000000001,549.1,0.8468402841012566
CC1CCCC1C,179,0.864,6.0479999999999995e-06,38.46,560.8,0.31918687589158345
CC1CCCC1C,269,0.7806,1.683e-05,26.71,560.8,0.47967189728958637
CC1CCCC1C,337,0.7166,0.001464,18.65,560.8,0.6009272467902996
CC1CCCC1C,383,0.6707,0.005785,14.2,560.8,0.6829529243937233
CC1CCCC1C,405,0.6491,0.009599,11.72,560.8,0.7221825962910129
CC1CCCC1C,428,0.6223,0.01266,9.972000000000001,560.8,0.7631954350927247
CC1CCCC1C,450,0.5939,0.02162,8.187000000000001,560.8,0.8024251069900143
CC1CCCC1C,473,0.5669,0.03345,5.524,560.8,0.8434379457917262
CC1CCC(C1)C,159,0.8776,0.0,40.45,550.6,0.28877588085724665
CC1CCC(C1)C,256,0.7847,2.111e-05,28.54,550.6,0.4649473301852524
CC1CCC(C1)C,328,0.7174,0.0006822999999999999,19.92,550.6,0.5957137667998547
CC1CCC(C1)C,376,0.6699,0.004818,15.34,550.6,0.6828913912095895
CC1CCC(C1)C,401,0.6426,0.008790000000000001,11.75,550.6,0.7282964039229931
CC1CCC(C1)C,425,0.6153,0.01485,10.11,550.6,0.7718852161278604
CC1CCC(C1)C,449,0.5854,0.02613,6.608,550.6,0.8154740283327279
CC1CCC(C1)C,473,0.5535,0.03765,5.475,550.6,0.8590628405375953
CC1(C)CC1(C)C,192,0.8046,1.066e-05,30.3,506.8,0.3788476716653512
CC1(C)CC1(C)C,271,0.7278,0.0001751,21.8,506.8,0.5347277032359905
CC1(C)CC1(C)C,331,0.6668,0.005074,13.87,506.8,0.6531176006314128
CC1(C)CC1(C)C,371,0.6219,0.00988,10.48,506.8,0.7320441988950276
CC1(C)CC1(C)C,390,0.5972,0.018009999999999998,8.157,506.8,0.7695343330702447
CC1(C)CC1(C)C,410,0.5711,0.02797,6.59,506.8,0.8089976322020521
CC1(C)CC1(C)C,430,0.5409,0.03398,5.0280000000000005,506.8,0.8484609313338595
CC1(C)CC1(C)C,450,0.5108,0.04931,3.49,506.8,0.8879242304656669
CCC1(CC)CC1,192,0.824,0.00299,33.41,536.5,0.35787511649580617
CCC1(CC)CC1,271,0.7493,3.318e-05,24.95,536.5,0.5051258154706431
CCC1(CC)CC1,331,0.692,0.0016239999999999998,16.9,536.5,0.6169617893755824
CCC1(CC)CC1,371,0.6506,0.005086,13.42,536.5,0.6915191053122087
CCC1(CC)CC1,390,0.6303,0.009622,11.54,536.5,0.7269338303821062
CCC1(CC)CC1,410,0.6065,0.014119999999999999,9.943999999999999,536.5,0.7642124883504194
CCC1(CC)CC1,430,0.5836,0.02352,7.587999999999999,536.5,0.8014911463187325
CCC1(CC)CC1,450,0.5559,0.0349,5.687,536.5,0.8387698042870456
C1CC2C(C1)CCC2,265,0.8899,0.0,35.44,629.0,0.42130365659777425
C1CC2C(C1)CCC2,341,0.8218,0.00020449999999999998,24.56,629.0,0.5421303656597775
C1CC2C(C1)CCC2,398,0.7684,0.0038729999999999997,19.83,629.0,0.6327503974562798
C1CC2C(C1)CCC2,436,0.7307,0.007887,16.55,629.0,0.6931637519872814
C1CC2C(C1)CCC2,455,0.711,0.01035,13.52,629.0,0.7233704292527822
C1CC2C(C1)CCC2,474,0.6901,0.01526,12.29,629.0,0.753577106518283
C1CC2C(C1)CCC2,493,0.6679,0.02163,10.12,629.0,0.7837837837837838
C1CC2C(C1)CCC2,512,0.6446,0.032189999999999996,7.995,629.0,0.8139904610492846
C1CC2CCC1CC2,468,0.6979,0.02113,11.99,607.6,0.7702435813034891
C1CC2CCC1CC2,484,0.6759,0.031310000000000004,9.496,607.6,0.7965766951942067
C1CC2CCC1CC2,496,0.661,0.02913,7.881,607.6,0.8163265306122449
C1CC2CCC1CC2,504,0.648,0.03317,7.483,607.6,0.8294930875576036
C1CC2CCC1CC2,508,0.645,0.03669,7.192,607.6,0.836076366030283
C1CC2CCC1CC2,512,0.6375,0.040780000000000004,6.97,607.6,0.8426596445029625
C1CC2CCC1CC2,516,0.6325,0.04367,7.119,607.6,0.8492429229756419
C1CC2CCC1CC2,520,0.6256,0.04658,6.452999999999999,607.6,0.8558262014483212
CCCC1CCCC1,181,0.872,2.167e-05,39.4,597.6,0.30287817938420347
CCCC1CCCC1,281,0.7844,4.886e-06,26.7,597.6,0.47021419009370813
CCCC1CCCC1,357,0.7174,0.001575,19.05,597.6,0.5973895582329317
CCCC1CCCC1,407,0.672,0.004313,14.82,597.6,0.681057563587684
CCCC1CCCC1,432,0.6476,0.007325,12.23,597.6,0.7228915662650602
CCCC1CCCC1,457,0.6212,0.013069999999999998,10.31,597.6,0.7647255689424364
CCCC1CCCC1,482,0.5931,0.02324,7.824,597.6,0.8065595716198125
CCCC1CCCC1,507,0.5624,0.035269999999999996,5.92,597.6,0.8483935742971888
CC(C1CCCC1)C,187,0.8694,0.000696,37.44,602.2,0.31052806376619063
CC(C1CCCC1)C,285,0.7829,9.58e-06,26.51,602.2,0.4732646961142477
CC(C1CCCC1)C,358,0.7196,0.0009083,19.53,602.2,0.5944868814347393
CC(C1CCCC1)C,406,0.6763,0.005727,14.43,602.2,0.6741946197276651
CC(C1CCCC1)C,431,0.6517,0.009516,12.76,602.2,0.7157090667552307
CC(C1CCCC1)C,455,0.6282,0.0127,10.42,602.2,0.7555629359016938
CC(C1CCCC1)C,480,0.5999,0.023969999999999998,7.081,602.2,0.7970773829292593
CC(C1CCCC1)C,504,0.573,0.03042,6.367000000000001,602.2,0.8369312520757223
CCC1(C)CCCC1,185,0.8712,0.004407,36.61,578.2,0.3199584918713248
CCC1(C)CCCC1,280,0.7848,1.193e-05,26.25,578.2,0.4842615012106537
CCC1(C)CCCC1,352,0.7194,0.001399,17.88,578.2,0.6087858872362504
CCC1(C)CCCC1,400,0.6734,0.007431999999999999,12.89,578.2,0.6918021445866481
CCC1(C)CCCC1,423,0.6487,0.01112,11.27,578.2,0.7315807679003804
CCC1(C)CCCC1,447,0.6236,0.01669,8.842,578.2,0.7730888965755793
CCC1(C)CCCC1,471,0.5926,0.022080000000000002,7.51,578.2,0.8145970252507783
CCC1(C)CCCC1,495,0.5605,0.043460000000000006,5.496,578.2,0.8561051539259771
CCC1CCC(C1)C,185,0.8675,0.002013,39.34,581.3,0.318252193359711
CCC1CCC(C1)C,282,0.7765,0.0,26.0,581.3,0.4851195596077757
CCC1CCC(C1)C,354,0.7076,0.0004957,17.55,581.3,0.6089798726991227
CCC1CCC(C1)C,402,0.6626,0.004379,13.4,581.3,0.6915534147600207
CCC1CCC(C1)C,427,0.6348,0.009852,11.33,581.3,0.7345604679167385
CCC1CCC(C1)C,451,0.6111,0.013909999999999999,9.312999999999999,581.3,0.7758472389471874
CCC1CCC(C1)C,475,0.5816,0.02179,7.4510000000000005,581.3,0.8171340099776364
CCC1CCC(C1)C,499,0.5497,0.03363,5.904,581.3,0.8584207810080854
CC1CCCC1(C)C,276,0.7795,0.0001322,25.95,568.6,0.48540274358072455
CC1CCCC1(C)C,344,0.7169,0.001019,17.1,568.6,0.604994723883222
CC1CCCC1(C)C,395,0.6677,0.00658,12.01,568.6,0.694688709110095
CC1CCCC1(C)C,429,0.633,0.01226,9.32,568.6,0.7544846992613436
CC1CCCC1(C)C,446,0.6107,0.0178,8.18,568.6,0.784382694336968
CC1CCCC1(C)C,463,0.5912,0.02504,6.591,568.6,0.8142806894125924
CC1CCCC1(C)C,480,0.5678,0.0355,6.042000000000001,568.6,0.8441786844882166
CC1CCCC1(C)C,497,0.5404,0.05214,4.758,568.6,0.8740766795638409
CC1CCC(C1)(C)C,156,0.8826,0.0,46.85,562.7,0.27723476097387595
CC1CCC(C1)(C)C,257,0.7912,1.554e-05,25.97,562.7,0.4567264972454238
CC1CCC(C1)(C)C,333,0.7221,0.00037349999999999997,18.25,562.7,0.5917895859250044
CC1CCC(C1)(C)C,384,0.6713,0.004913,12.93,562.7,0.6824240270126177
CC1CCC(C1)(C)C,409,0.6457,0.01023,11.38,562.7,0.726852674604585
CC1CCC(C1)(C)C,434,0.618,0.01375,9.023,562.7,0.7712813221965523
CC1CCC(C1)(C)C,460,0.5842,0.026810000000000004,6.937,562.7,0.8174871156921982
CC1CCC(C1)(C)C,485,0.5534,0.04017,4.902,562.7,0.8619157632841655
CCC1CCCCC1,187,0.8915,0.00030039999999999993,41.21,589.4,0.3172718018323719
CCC1CCCCC1,289,0.7991,1.055e-05,25.72,589.4,0.49032914828639296
CCC1CCCCC1,365,0.7278,0.0014730000000000001,18.93,589.4,0.6192738378011537
CCC1CCCCC1,416,0.6756,0.006576,13.82,589.4,0.7058025110281643
CCC1CCCCC1,442,0.6473,0.01229,11.17,589.4,0.7499151679674245
CCC1CCCCC1,467,0.618,0.0182,9.674,589.4,0.7923311842551748
CCC1CCCCC1,493,0.5874,0.028419999999999997,6.654,589.4,0.836443841194435
CCC1CCCCC1,518,0.554,0.04977,4.918,589.4,0.8788598574821853
CC1(C)CCCCC1,265,0.8098,7.596000000000001e-06,29.08,581.6,0.4556396148555708
CC1(C)CCCCC1,338,0.7425,0.0005641,20.16,581.6,0.5811554332874828
CC1(C)CCCCC1,393,0.6903,0.0058969999999999995,13.55,581.6,0.6757221458046767
CC1(C)CCCCC1,429,0.6522,0.014159999999999999,9.402000000000001,581.6,0.7376203576341127
CC1(C)CCCCC1,447,0.6324,0.01871,8.628,581.6,0.7685694635488308
CC1(C)CCCCC1,466,0.6095,0.02324,6.678,581.6,0.8012379642365887
CC1(C)CCCCC1,484,0.586,0.0301,6.361000000000001,581.6,0.8321870701513067
CC1(C)CCCCC1,502,0.5589,0.04635,5.155,581.6,0.8631361760660248
CC1CCCCC1C,226,0.8453,0.0,35.68,594.7,0.38002354128131827
CC1CCCCC1C,313,0.768,9.728e-05,23.55,594.7,0.5263157894736842
CC1CCCCC1C,378,0.7093,0.001952,16.54,594.7,0.6356145955944174
CC1CCCCC1C,421,0.6678,0.008445999999999999,12.74,594.7,0.7079199596435177
CC1CCCCC1C,443,0.6447,0.01457,10.4,594.7,0.7449134017151504
CC1CCCCC1C,465,0.6206,0.0222,8.942,594.7,0.7819068437867832
CC1CCCCC1C,486,0.5953,0.02847,7.257000000000001,594.7,0.8172187657642508
CC1CCCCC1C,508,0.5638,0.036989999999999995,6.055,594.7,0.8542122078358836
C[C@H]1CCCC[C@@H]1C,210,0.8676,6.332999999999999e-06,37.85,587.0,0.3577512776831346
C[C@H]1CCCC[C@@H]1C,301,0.7846,0.0001619,25.57,587.0,0.5127768313458262
C[C@H]1CCCC[C@@H]1C,370,0.7184,0.0025,17.55,587.0,0.6303236797274276
C[C@H]1CCCC[C@@H]1C,416,0.6713,0.007036,12.4,587.0,0.7086882453151618
C[C@H]1CCCC[C@@H]1C,438,0.6454,0.0157,10.75,587.0,0.7461669505962522
C[C@H]1CCCC[C@@H]1C,461,0.6201,0.01924,9.388,587.0,0.7853492333901193
C[C@H]1CCCC[C@@H]1C,484,0.5937,0.02453,6.941,587.0,0.8245315161839863
C[C@H]1CCCC[C@@H]1C,507,0.5627,0.040369999999999996,5.468999999999999,587.0,0.8637137989778535
CC1CCCC(C1)C,226,0.8543,4.236000000000001e-06,40.23,583.6,0.387251542152159
CC1CCCC(C1)C,313,0.7728,4.206e-05,24.49,583.6,0.5363262508567512
CC1CCCC(C1)C,378,0.6994,0.002591,16.6,583.6,0.6477039067854695
CC1CCCC(C1)C,421,0.6578,0.007195999999999999,12.47,583.6,0.7213845099383139
CC1CCCC(C1)C,443,0.6336,0.01048,10.64,583.6,0.7590815627141878
CC1CCCC(C1)C,465,0.6097,0.02155,8.048,583.6,0.7967786154900617
CC1CCCC(C1)C,486,0.5814,0.0258,6.159,583.6,0.8327621658670322
CC1CCCC(C1)C,508,0.5543,0.0389,4.8,583.6,0.8704592186429061
C[C@@H]1CCC[C@@H](C1)C,222,0.8405,3.093e-05,33.02,590.5,0.37595258255715497
C[C@@H]1CCC[C@@H](C1)C,308,0.7641,6.268e-05,22.22,590.5,0.5215918712955123
C[C@@H]1CCC[C@@H](C1)C,373,0.7042,0.0031420000000000003,15.97,590.5,0.6316680779000847
C[C@@H]1CCC[C@@H](C1)C,416,0.662,0.007187000000000001,12.44,590.5,0.7044877222692634
C[C@@H]1CCC[C@@H](C1)C,437,0.641,0.010209999999999999,11.24,590.5,0.7400508044030483
C[C@@H]1CCC[C@@H](C1)C,459,0.6142,0.01564,8.747,590.5,0.777307366638442
C[C@@H]1CCC[C@@H](C1)C,480,0.593,0.02568,7.456,590.5,0.8128704487722269
C[C@@H]1CCC[C@@H](C1)C,502,0.5627,0.03741,5.149,590.5,0.8501270110076207
C[C@@H]1CCC[C@H](C1)C,208,0.8614,0.004538,37.19,590.7,0.3521245979346538
